Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  54,0.019,0.060,0.043,0.091,0.155,0.00,0.095,0.153,0.386,0.00,485
Client  55,0.054,0.036,0.007,0.002,0.021,0.003,0.185,0.00,0.381,0.312,612
Client  56,0.018,0.373,0.027,0.005,0.136,0.440,0.00,0.00,0.00,0.00,557
Client  57,0.085,0.181,0.168,0.043,0.143,0.034,0.345,0.00,0.00,0.00,553
Client  58,0.011,0.115,0.123,0.00,0.026,0.115,0.006,0.008,0.024,0.573,1074
Client  59,0.043,0.002,0.051,0.090,0.535,0.280,0.00,0.00,0.00,0.00,533
Client  60,0.691,0.021,0.142,0.146,0.00,0.00,0.00,0.00,0.00,0.00,576
Client  61,0.179,0.088,0.003,0.149,0.00,0.043,0.049,0.161,0.179,0.149,329
Client  62,0.00,0.008,0.133,0.130,0.019,0.006,0.053,0.651,0.00,0.00,900
Client  63,0.033,0.005,0.008,0.018,0.317,0.068,0.013,0.390,0.131,0.018,397
Client  64,0.059,0.014,0.035,0.120,0.706,0.006,0.020,0.041,0.00,0.00,510
Client  65,0.047,0.296,0.074,0.019,0.093,0.136,0.117,0.043,0.054,0.121,257
Client  66,0.066,0.053,0.261,0.096,0.001,0.522,0.00,0.00,0.00,0.00,678
Client  67,0.168,0.00,0.020,0.050,0.128,0.162,0.042,0.050,0.257,0.123,358
Client  68,0.015,0.093,0.031,0.063,0.269,0.005,0.034,0.034,0.456,0.00,616
Client  69,0.140,0.110,0.009,0.061,0.070,0.166,0.002,0.089,0.011,0.342,571
Client  70,0.273,0.333,0.003,0.330,0.00,0.006,0.00,0.024,0.00,0.030,330
Client  71,0.009,0.013,0.00,0.072,0.004,0.00,0.012,0.028,0.201,0.660,677
Client  72,0.330,0.022,0.197,0.325,0.004,0.002,0.121,0.00,0.00,0.00,554
Client  73,0.005,0.016,0.143,0.060,0.016,0.004,0.174,0.394,0.187,0.00,551
Client  74,0.213,0.00,0.006,0.064,0.006,0.017,0.399,0.166,0.036,0.094,361
Client  75,0.005,0.218,0.047,0.368,0.363,0.00,0.00,0.00,0.00,0.00,579
Client  76,0.003,0.126,0.038,0.029,0.021,0.094,0.100,0.00,0.006,0.582,340
Client  77,0.007,0.00,0.156,0.202,0.106,0.076,0.009,0.064,0.313,0.067,435
Client  78,0.155,0.055,0.069,0.226,0.007,0.050,0.241,0.197,0.00,0.00,580
Client  79,0.003,0.490,0.013,0.006,0.107,0.00,0.016,0.018,0.018,0.329,626
Client  80,0.138,0.055,0.103,0.138,0.00,0.00,0.003,0.459,0.083,0.021,290
Client  81,0.044,0.046,0.032,0.039,0.007,0.611,0.021,0.202,0.00,0.00,570
Client  82,0.018,0.449,0.004,0.026,0.011,0.015,0.015,0.044,0.125,0.294,272
Client  83,0.234,0.076,0.029,0.119,0.010,0.344,0.169,0.012,0.005,0.002,419
Client  84,0.186,0.012,0.016,0.023,0.002,0.143,0.019,0.186,0.412,0.00,565
Client  85,0.105,0.059,0.002,0.078,0.128,0.246,0.383,0.00,0.00,0.00,525
Client  86,0.088,0.281,0.319,0.312,0.00,0.00,0.00,0.00,0.00,0.00,520
Client  87,0.033,0.00,0.055,0.033,0.069,0.004,0.400,0.055,0.353,0.00,275
Client  88,0.146,0.019,0.267,0.046,0.105,0.00,0.417,0.00,0.00,0.00,581
Client  89,0.029,0.015,0.074,0.015,0.056,0.012,0.334,0.299,0.166,0.00,592
Client  90,0.141,0.074,0.004,0.123,0.026,0.037,0.037,0.145,0.323,0.089,269
Client  91,0.055,0.054,0.024,0.437,0.016,0.141,0.272,0.00,0.00,0.00,615
Client  92,0.516,0.178,0.069,0.049,0.00,0.018,0.171,0.00,0.00,0.00,510
Client  93,0.056,0.198,0.00,0.023,0.003,0.028,0.00,0.691,0.00,0.00,606
Client  94,0.009,0.009,0.217,0.00,0.175,0.009,0.052,0.075,0.024,0.429,212
Client  95,0.590,0.310,0.016,0.085,0.00,0.00,0.00,0.00,0.00,0.00,507
Client  96,0.025,0.140,0.145,0.032,0.020,0.086,0.027,0.216,0.311,0.00,602
Client  97,0.002,0.085,0.320,0.129,0.013,0.070,0.004,0.378,0.00,0.00,556
Client  98,0.008,0.038,0.450,0.211,0.146,0.013,0.019,0.063,0.052,0.00,522
Client  99,0.028,0.044,0.011,0.022,0.022,0.022,0.006,0.017,0.017,0.812,181
